param			w			W_T			dkr1			W			dkv1_of			supp	load	G			dkr1_k			
14.02.2018_1:24:19	525.845825195313	2.54859298706055	1.83953033268102	2.4853228962818		0.0000000000000001	0	1	36.9863014221191	6.1839530332681		
14.02.2018_1:24:20	525.949890136719	2.54859298706055	1.83953033268102	2.4853228962818		0.0000000000000001	0	1	36.7906074523926	6.1839530332681		
14.02.2018_1:24:22	525.949890136719	2.54859298706055	1.83953033268102	2.4853228962818		0.0000000000000001	0	1	36.7906074523926	6.1839530332681		
14.02.2018_1:24:23	525.949890136719	2.54859298706055	1.83953033268102	2.4853228962818		0.0000000000000001	0	1	36.7906074523926	6.1839530332681		
14.02.2018_1:24:25	525.949890136719	2.54859298706055	1.83953033268102	2.47553816046967	-0.0026525198938997	0	1	36.594913482666		6.1839530332681		
14.02.2018_1:24:26	525.949890136719	2.54859298706055	1.83953033268102	2.47553816046967	-0.0000000000000013	0	1	36.9863014221191	6.16438356164384	
14.02.2018_1:24:28	525.949890136719	2.54859298706055	1.85909980430528	2.50489236790607	-0.0079155672823220	0	1	36.6927604675293	6.22309197651663	
14.02.2018_1:24:30	526.053588867188	2.54859298706055	1.85909980430528	2.4853228962818		-0.0105820105820099	0	1	36.6927604675293	6.20352250489237	
14.02.2018_1:24:31	526.053588867188	2.54859298706055	1.85909980430528	2.50489236790607	-0.0105820105820099	0	1	36.6927604675293	6.20352250489237	
14.02.2018_1:24:33	526.053588867188	2.54859298706055	1.85909980430528	2.4853228962818		-0.0105820105820099	0	1	36.7906074523926	6.20352250489237	
14.02.2018_1:24:34	526.053588867188	2.54859298706055	1.83953033268102	2.4853228962818		-0.0105820105820099	0	1	36.8884544372559	6.1839530332681		
14.02.2018_1:24:35	526.053588867188	2.54859298706055	1.85909980430528	2.4853228962818		-0.0105820105820099	0	1	36.7906074523926	6.20352250489237	
14.02.2018_1:24:37	526.053588867188	2.54859298706055	1.83953033268102	2.4853228962818		-0.0105820105820099	0	1	36.6927604675293	6.20352250489237	
14.02.2018_1:24:38	526.157348632813	2.54859298706055	1.83953033268102	2.4853228962818		-0.0105820105820099	0	1	36.8884544372559	6.20352250489237	
14.02.2018_1:24:40	526.157348632813	2.54859298706055	1.83953033268102	2.4853228962818		-0.0105820105820099	0	1	36.6927604675293	6.20352250489237	
14.02.2018_1:24:41	526.157348632813	2.54859298706055	1.83953033268102	2.4853228962818		-0.0105820105820099	0	1	36.6927604675293	6.20352250489237	
14.02.2018_1:24:43	526.157348632813	2.54859298706055	1.83953033268102	2.4853228962818		-0.0105820105820099	0	1	36.9863014221191	6.1839530332681		
14.02.2018_1:24:44	526.157348632813	2.54859298706055	1.83953033268102	2.4853228962818		-0.0105820105820099	0	1	36.6927604675293	6.20352250489237	
14.02.2018_1:24:46	526.157348632813	2.54859298706055	1.85909980430528	2.50489236790607	-0.0079155672823220	0	1	36.8884544372559	6.22309197651663	
14.02.2018_1:24:47	526.261169433594	2.54859298706055	1.85909980430528	2.50489236790607	-0.0105263157894743	0	1	37.0841484069824	6.22309197651663	
14.02.2018_1:24:49	526.261169433594	2.54859298706055	1.85909980430528	2.50489236790607	-0.0131926121372030	0	1	36.8884544372559	6.22309197651663	
14.02.2018_1:24:50	526.261169433594	2.54859298706055	1.85909980430528	2.5146771037182		-0.0104712041884823	0	1	36.6927604675293	6.2426614481409		
14.02.2018_1:24:52	526.261169433594	2.54859298706055	1.85909980430528	2.5146771037182		-0.0078740157480316	0	1	37.1819953918457	6.2426614481409		
14.02.2018_1:24:53	526.261169433594	2.54859298706055	1.85909980430528	2.50489236790607	-0.0131926121372030	0	1	36.7906074523926	6.22309197651663	
14.02.2018_1:24:55	526.261169433594	2.54859298706055	1.85909980430528	2.5146771037182		-0.0157894736842109	0	1	36.6927604675293	6.2426614481409		
14.02.2018_1:24:56	526.365478515625	2.54859298706055	1.83953033268102	2.4853228962818		-0.0158730158730149	0	1	36.8884544372559	6.1839530332681		
14.02.2018_1:24:57	526.393188476563	2.54859298706055	1.85909980430528	2.50489236790607	-0.0131926121372030	0	1	36.6927604675293	6.20352250489237	
14.02.2018_1:24:59	526.3955078125		2.55442123413086	1.83953033268102	2.4853228962818		-0.0105820105820099	0	1	36.6927604675293	6.1839530332681		
14.02.2018_1:25:00	526.421997070313	2.55442123413086	1.85909980430528	2.4853228962818		-0.0052631578947365	0	1	36.9863014221191	6.22309197651663	
14.02.2018_1:25:02	526.421997070313	2.55442123413086	1.85909980430528	2.50489236790607	-0.0079155672823220	0	1	36.8884544372559	6.22309197651663	
14.02.2018_1:25:03	526.421997070313	2.55442123413086	1.85909980430528	2.50489236790607	0.0026385224274411	0	1	36.6927604675293	6.22309197651663	
14.02.2018_1:25:05	526.469909667969	2.56233032226563	1.85909980430528	2.50489236790607	0.0000000000000014	0	1	36.7906074523926	6.22309197651663	
